timestamp,symbol,side,price,quantity,pnl,reason,ml_score,final_tp
2026-03-28T10:32:45.480409,NEAR/USDT,Long,1.163,278.84448438194727,0,[1H Core] AI Score 0.56 >= 0.52,0.5576889687638945,1.2269649999999999
2026-03-28T10:32:45.591819,AVAX/USDT,Long,8.79,277.51331549615816,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923163,9.273449999999999
2026-03-28T10:32:45.811624,ARB/USDT,Long,0.0898,283.5838763671054,0,[1H Core] AI Score 0.57 >= 0.52,0.5671677527342108,0.094739
2026-03-28T10:33:46.566060,SOL/USDT,Long,82.78,295.9533527301322,0,[1H Core] AI Score 0.59 >= 0.52,0.5919067054602645,87.08456000000001
2026-03-28T10:33:46.675379,NEAR/USDT,Long,1.163,278.84448438194727,0,[1H Core] AI Score 0.56 >= 0.52,0.5576889687638945,1.2269649999999999
2026-03-28T10:33:46.792057,AVAX/USDT,Long,8.78,276.83444898289895,0,[1H Core] AI Score 0.55 >= 0.52,0.5536688979657979,9.262899999999998
2026-03-28T10:33:47.015426,ARB/USDT,Long,0.0899,274.51627189129454,0,[1H Core] AI Score 0.55 >= 0.52,0.549032543782589,0.09484449999999998
2026-03-28T10:34:47.778439,SOL/USDT,Long,82.8,308.640674076795,0,[1H Core] AI Score 0.62 >= 0.52,0.61728134815359,87.1056
2026-03-28T10:34:47.890088,NEAR/USDT,Long,1.163,279.8993659532932,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065865,1.2269649999999999
2026-03-28T10:34:48.001528,AVAX/USDT,Long,8.79,277.5133154961582,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923164,9.273449999999999
2026-03-28T10:34:48.291221,ARB/USDT,Long,0.0899,274.5162718912946,0,[1H Core] AI Score 0.55 >= 0.52,0.5490325437825891,0.09484449999999998
2026-03-28T10:35:49.089056,SOL/USDT,Long,82.79,308.6406740767949,0,[1H Core] AI Score 0.62 >= 0.52,0.6172813481535898,87.09508000000001
2026-03-28T10:35:49.198660,NEAR/USDT,Long,1.163,279.8993659532933,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065866,1.2269649999999999
2026-03-28T10:35:49.308597,AVAX/USDT,Long,8.79,277.5133154961582,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923164,9.273449999999999
2026-03-28T10:35:49.560213,ARB/USDT,Long,0.0899,274.51627189129465,0,[1H Core] AI Score 0.55 >= 0.52,0.5490325437825893,0.09484449999999998
2026-03-28T10:36:50.452955,SOL/USDT,Long,82.78,303.1742963434809,0,[1H Core] AI Score 0.61 >= 0.52,0.6063485926869617,87.08456000000001
2026-03-28T10:36:50.572110,NEAR/USDT,Long,1.163,279.89936595329334,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065867,1.2269649999999999
2026-03-28T10:36:50.681333,AVAX/USDT,Long,8.79,277.5133154961582,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923164,9.273449999999999
2026-03-28T10:36:50.899563,ARB/USDT,Long,0.0898,283.58387636710546,0,[1H Core] AI Score 0.57 >= 0.52,0.5671677527342109,0.094739
2026-03-28T10:37:51.661359,SOL/USDT,Long,82.77,300.36479440430963,0,[1H Core] AI Score 0.60 >= 0.52,0.6007295888086193,87.07404
2026-03-28T10:37:51.773242,NEAR/USDT,Long,1.163,279.8993659532933,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065866,1.2269649999999999
2026-03-28T10:37:51.919483,AVAX/USDT,Long,8.79,277.51331549615816,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923163,9.273449999999999
2026-03-28T10:37:52.154638,ARB/USDT,Long,0.0899,274.51627189129454,0,[1H Core] AI Score 0.55 >= 0.52,0.549032543782589,0.09484449999999998
2026-03-28T10:38:52.922417,SOL/USDT,Long,82.72,299.8510758200706,0,[1H Core] AI Score 0.60 >= 0.52,0.5997021516401412,87.02144
2026-03-28T10:38:53.032212,NEAR/USDT,Long,1.163,274.90368211191213,0,[1H Core] AI Score 0.55 >= 0.52,0.5498073642238243,1.2269649999999999
2026-03-28T10:38:53.145814,AVAX/USDT,Long,8.77,276.6299254528685,0,[1H Core] AI Score 0.55 >= 0.52,0.553259850905737,9.25235
2026-03-28T10:38:53.364650,ARB/USDT,Long,0.0898,282.8407177782495,0,[1H Core] AI Score 0.57 >= 0.52,0.565681435556499,0.094739
2026-03-28T10:39:54.136300,SOL/USDT,Long,82.77,294.88427646634136,0,[1H Core] AI Score 0.59 >= 0.52,0.5897685529326827,87.07404
2026-03-28T10:39:54.247513,NEAR/USDT,Long,1.163,274.9036821119121,0,[1H Core] AI Score 0.55 >= 0.52,0.5498073642238241,1.2269649999999999
2026-03-28T10:39:54.357908,AVAX/USDT,Long,8.78,279.91870705293917,0,[1H Core] AI Score 0.56 >= 0.52,0.5598374141058783,9.262899999999998
2026-03-28T10:39:54.574391,ARB/USDT,Long,0.0897,301.2056137837553,0,[1H Core] AI Score 0.60 >= 0.52,0.6024112275675106,0.0946335
2026-03-28T10:40:55.398981,SOL/USDT,Long,82.8,302.9539767602711,0,[1H Core] AI Score 0.61 >= 0.52,0.6059079535205422,87.1056
2026-03-28T10:40:55.509059,NEAR/USDT,Long,1.163,274.9036821119121,0,[1H Core] AI Score 0.55 >= 0.52,0.5498073642238241,1.2269649999999999
2026-03-28T10:40:55.621849,AVAX/USDT,Long,8.78,279.9187070529391,0,[1H Core] AI Score 0.56 >= 0.52,0.5598374141058782,9.262899999999998
2026-03-28T10:40:55.842697,ARB/USDT,Long,0.0899,273.77311330243856,0,[1H Core] AI Score 0.55 >= 0.52,0.5475462266048772,0.09484449999999998
2026-03-28T10:41:56.670216,SOL/USDT,Long,82.75,292.16702719816266,0,[1H Core] AI Score 0.58 >= 0.52,0.5843340543963254,87.053
2026-03-28T10:41:56.784442,NEAR/USDT,Long,1.163,279.8993659532933,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065866,1.2269649999999999
2026-03-28T10:41:56.893475,AVAX/USDT,Long,8.78,279.91870705293917,0,[1H Core] AI Score 0.56 >= 0.52,0.5598374141058783,9.262899999999998
2026-03-28T10:41:57.135258,ARB/USDT,Long,0.0899,274.5162718912946,0,[1H Core] AI Score 0.55 >= 0.52,0.5490325437825891,0.09484449999999998
2026-03-28T10:42:57.907629,SOL/USDT,Long,82.78,296.14745699606163,0,[1H Core] AI Score 0.59 >= 0.52,0.5922949139921233,87.08456000000001
2026-03-28T10:42:58.019798,NEAR/USDT,Long,1.163,279.8993659532933,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065866,1.2269649999999999
2026-03-28T10:42:58.129068,AVAX/USDT,Long,8.79,277.5133154961582,0,[1H Core] AI Score 0.56 >= 0.52,0.5550266309923164,9.273449999999999
2026-03-28T10:42:58.355078,ARB/USDT,Long,0.0898,276.034339480692,0,[1H Core] AI Score 0.55 >= 0.52,0.552068678961384,0.094739
2026-03-28T10:43:59.151567,SOL/USDT,Long,82.78,296.1474569960616,0,[1H Core] AI Score 0.59 >= 0.52,0.5922949139921232,87.08456000000001
2026-03-28T10:43:59.271399,NEAR/USDT,Long,1.163,279.89936595329317,0,[1H Core] AI Score 0.56 >= 0.52,0.5597987319065864,1.2269649999999999
2026-03-28T10:43:59.379544,AVAX/USDT,Long,8.77,276.6299254528685,0,[1H Core] AI Score 0.55 >= 0.52,0.553259850905737,9.25235
2026-03-28T10:43:59.600991,ARB/USDT,Long,0.0899,269.2239052793961,0,[1H Core] AI Score 0.54 >= 0.52,0.5384478105587922,0.09484449999999998
2026-03-28T10:45:00.385238,SOL/USDT,Long,82.81,297.6193210792621,0,[1H Core] AI Score 0.60 >= 0.52,0.5952386421585242,87.11612000000001
2026-03-28T10:45:00.495364,NEAR/USDT,Long,1.162,271.5865008729406,0,[1H Core] AI Score 0.54 >= 0.52,0.5431730017458811,1.2259099999999998
